id,name,artists,year,popularity,key,tempo,acousticness,duration_ms,danceability,energy,explicit,instrumentalness,liveness,loudness,mode,speechiness,valence
2rMFawCg4BW65jzbwztXAV,Oh My Dis Side (feat. Quavo),"['Travis Scott', 'Quavo']",2015,67,1,126.018,0.352,351253,0.459,0.623,1,0,0.131,-4.45,1,0.0489,0.205
3SEd8nPd8MpGwk6ZZ8tk2j,Mamacita (feat. Rich Homie Quan & Young Thug),"['Travis Scott', 'Rich Homie Quan', 'Young Thug']",2014,68,11,115.021,0.0146,274320,0.823,0.768,1,1.03E-06,0.127,-6.21,1,0.0819,0.216
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,"['Travis Scott', 'ROSALÍA', 'Lil Baby']",2019,79,2,153.131,0.0567,244874,0.559,0.491,1,0,0.0992,-6.406,0,0.0346,0.114
0MRZ9nMoLc7qQ8Nhovv8C8,Ok Alright (feat. ScHoolboy Q),"['Travis Scott', 'ScHoolboy Q']",2015,58,8,122.482,0.141,417693,0.53,0.661,1,0.00018,0.123,-5.507,1,0.083,0.149
0u695M7KyzXaPIjpEbxOkB,SICKO MODE - Skrillex Remix,"['Travis Scott', 'Skrillex']",2018,67,1,155.051,0.0214,304512,0.651,0.833,1,0,0.14,-3.356,1,0.172,0.443
3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),"['Travis Scott', 'Swae Lee', 'Chief Keef']",2015,67,3,124.045,0.00134,321560,0.522,0.728,1,0,0.132,-3.801,0,0.0323,0.18
1x6Zk7hoTIlSOFNZnyxjZD,Upper Echelon (feat. T.I. & 2 Chainz),"['Travis Scott', 'T.I.', '2 Chainz']",2013,59,2,122.065,0.0448,243800,0.788,0.617,1,0,0.088,-4.516,1,0.0651,0.128
2QKBvCMHdokPoy2b44dK2m,Don't Play (feat. The 1975 & Big Sean),"['Travis Scott', 'The 1975', 'Big Sean']",2014,61,0,128.014,0.00203,285954,0.681,0.729,1,0,0.148,-3.99,1,0.0326,0.101
2dJ4rGtsOHOgvTQawsCRtg,Pray 4 Love (feat. The Weeknd),"['Travis Scott', 'The Weeknd']",2015,65,1,79.94,0.2,307000,0.629,0.578,1,0,0.151,-4.704,1,0.0428,0.211
6HszFW6X5wM8DKX1SO0LaK,Flying High (feat. Toro y Moi),"['Travis Scott', 'Toro y Moi']",2015,55,1,130.016,0.0616,208627,0.628,0.827,1,0,0.495,-3.139,0,0.04,0.429
7p7pzSVr2zovan3m1m5hFm,Sky Fall,"['Travis Scott', 'Young Thug']",2014,57,11,98.451,0.213,318093,0.652,0.69,1,0,0.257,-7.1,0,0.0574,0.249
11kDth1aKUEUMq9r1pqyds,5% TINT,['Travis Scott'],2018,73,4,140,0.173,196138,0.712,0.481,1,0,0.241,-5.415,0,0.0487,0.062
